sen,label_decode,label,raw_sen,length
"['陈', '庇', '昌', '先', '生', '，', '广', '东', '科', '龙', '电', '器', '股', '份', '有', '限', '公', '司', '独', '立', '非', '执', '行', '董', '事', '。']","['B-NAME', 'I-NAME', 'I-NAME', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 3, 4, 4, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 11, 11, 11, 5, 5]",陈庇昌先生，广东科龙电器股份有限公司独立非执行董事。,26
"['M', 'B', 'A', '，', 'F', 'C', 'C', 'A', '，', 'F', 'H', 'K', 'S', 'A', '，', 'A', 'C', 'I', 'S', '，', 'H', 'K', 'I', 'C', 'S', '，', '拥', '有', '多', '年', '之', '财', '务', '管', '理', '、', '投', '资', '及', '企', '业', '融', '资', '经', '验', '，', '曾', '任', '职', '商', '人', '银', '行', '融', '资', '部', '董', '事', '，', '负', '责', '企', '业', '改', '组', '、', '收', '购', '及', '资', '本', '市', '场', '运', '作', '。']","['B-EDU', 'I-EDU', 'I-EDU', 'O', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[5, 12, 13, 13, 5, 12, 13, 13, 13, 5, 12, 13, 13, 13, 13, 5, 12, 13, 13, 13, 5, 12, 13, 13, 13, 13, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 10, 11, 11, 11, 11, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",MBA，FCCA，FHKSA，ACIS，HKICS，拥有多年之财务管理、投资及企业融资经验，曾任职商人银行融资部董事，负责企业改组、收购及资本市场运作。,76
"['同', '时', '在', '一', '家', '国', '际', '会', '计', '师', '事', '务', '所', '工', '作', '，', '专', '门', '负', '责', '协', '助', '企', '业', '年', '审', '及', '财', '务', '管', '理', '工', '作', '。']","['O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",同时在一家国际会计师事务所工作，专门负责协助企业年审及财务管理工作。,34
"['九', '十', '年', '代', '初', '，', '陈', '先', '生', '在', '香', '港', '联', '合', '交', '易', '所', '担', '任', '上', '市', '科', '经', '理', '，', '专', '职', '负', '责', '审', '批', '公', '司', '上', '市', '安', '排', '及', '协', '调', '，', '其', '中', '包', '括', '首', '次', '上', '市', '、', '衍', '生', '工', '具', '发', '行', '、', '股', '份', '回', '购', '等', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'I-NAME', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 5, 5, 10, 11, 11, 11, 11, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",九十年代初，陈先生在香港联合交易所担任上市科经理，专职负责审批公司上市安排及协调，其中包括首次上市、衍生工具发行、股份回购等。,63
"['陈', '先', '生', '为', '英', '国', '达', '勒', '姆', '大', '学', '工', '商', '管', '理', '硕', '士', '，', '同', '时', '持', '有', '香', '港', '岭', '南', '大', '学', '会', '计', '系', '荣', '誉', '文', '凭', '、', '英', '国', '公', '认', '会', '计', '师', '公', '会', '及', '公', '认', '香', '港', '会', '计', '师', '公', '会', '资', '深', '会', '员', '、', '英', '国', '及', '香', '港', '公', '司', '秘', '书', '行', '政', '人', '员', '协', '会', '会', '员', '等', '专', '业', '资', '格', '。']","['I-NAME', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'B-EDU', 'I-EDU', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'O', 'O', 'O', 'O', 'O', 'O']","[5, 4, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 16, 17, 17, 17, 12, 13, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 5, 5, 5, 5, 5, 5, 5]",陈先生为英国达勒姆大学工商管理硕士，同时持有香港岭南大学会计系荣誉文凭、英国公认会计师公会及公认香港会计师公会资深会员、英国及香港公司秘书行政人员协会会员等专业资格。,83
"['此', '外', '，', '还', '拥', '有', '英', '国', '及', '香', '港', '执', '业', '会', '计', '师', '牌', '照', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'O', 'O']","[5, 5, 5, 5, 5, 5, 5, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 5, 5, 5, 5]",此外，还拥有英国及香港执业会计师牌照。,19
"['陈', '先', '生', '现', '为', '一', '家', '会', '计', '师', '事', '务', '所', '合', '伙', '人', '，', '亦', '为', '另', '一', '香', '港', '主', '板', '上', '市', '公', '司', '御', '泰', '国', '际', '独', '立', '非', '执', '行', '董', '事', '。']","['I-NAME', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 4, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 10, 11, 11, 11, 11, 11, 11, 5, 5]",陈先生现为一家会计师事务所合伙人，亦为另一香港主板上市公司御泰国际独立非执行董事。,41
"['张', '万', '山', '先', '生', '，', '中', '专', '学', '历', '，', '中', '共', '党', '员', '，', '高', '级', '工', '程', '师', '，', '曾', '任', '吉', '林', '造', '纸', '（', '集', '团', '）', '有', '限', '公', '司', '车', '间', '主', '任', '、', '营', '林', '处', '处', '长', '，', '副', '总', '经', '理', '，', '吉', '林', '纸', '业', '股', '股', '份', '有', '限', '公', '司', '总', '经', '理', '助', '理', '、', '副', '总', '经', '理', '。']","['B-NAME', 'I-NAME', 'I-NAME', 'O', 'O', 'O', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 3, 4, 4, 5, 5, 5, 12, 13, 13, 13, 5, 10, 11, 11, 11, 5, 10, 11, 11, 11, 11, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 5, 10, 11, 11, 11, 11, 5, 10, 11, 11, 11, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 11, 5, 10, 11, 11, 11, 5, 5]",张万山先生，中专学历，中共党员，高级工程师，曾任吉林造纸（集团）有限公司车间主任、营林处处长，副总经理，吉林纸业股股份有限公司总经理助理、副总经理。,74
"['夏', '玉', '龙', '：', '男', '，', '汉', '族', '，']","['B-NAME', 'I-NAME', 'I-NAME', 'O', 'O', 'O', 'B-RACE', 'I-RACE', 'O']","[5, 3, 4, 4, 5, 5, 5, 8, 9, 5, 5]",夏玉龙：男，汉族，,9
"['1', '9', '7', '1', '年', '1', '月', '出', '生', '，']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",1971年1月出生，,10
"['1', '9', '9', '0', '年', '8', '月', '参', '加', '工', '作', '，', '本', '科', '学', '历', '，', '高', '级', '工', '程', '师', '，', '中', '共', '党', '员', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 12, 13, 13, 13, 5, 10, 11, 11, 11, 11, 5, 10, 11, 11, 11, 5, 5]",1990年8月参加工作，本科学历，高级工程师，中共党员。,28
"['自', '2', '0', '0', '5', '年', '起', '，', '任', '青', '松', '建', '化', '全', '资', '子', '公', '司', '库', '车', '青', '松', '水', '泥', '有', '限', '责', '任', '公', '司', '执', '行', '董', '事', '、', '总', '经', '理', '，', '青', '松', '建', '化', '副', '总', '裁', '、', '董', '事', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 5, 10, 11, 11, 5, 14, 15, 15, 15, 10, 11, 11, 5, 10, 11, 5, 5]",自2005年起，任青松建化全资子公司库车青松水泥有限责任公司执行董事、总经理，青松建化副总裁、董事。,50
"['唐', '福', '生', '，']","['B-NAME', 'I-NAME', 'I-NAME', 'O']","[5, 3, 4, 4, 5, 5]",唐福生，,4
"['1', '9', '9', '6', '年', '7', '月', '毕', '业', '于', '天', '津', '城', '市', '建', '设', '学', '院', '，', '获', '工', '学', '学', '士', '学', '位', '，']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-PRO', 'I-PRO', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 5, 5, 16, 17, 12, 13, 13, 13, 5, 5]",1996年7月毕业于天津城市建设学院，获工学学士学位，,27
"['2', '0', '0', '5', '年', '9', '月', '至', '2', '0', '0', '7', '年', '8', '月', '就', '读', '于', '亚', '洲', '（', '澳', '门', '）', '国', '际', '公', '开', '大', '学', 'M', 'B', 'A', '专', '业', '，', '获', '工', '商', '管', '理', '硕', '士', '学', '位', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-EDU', 'I-EDU', 'I-EDU', 'O', 'O', 'O', 'O', 'B-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 12, 13, 13, 5, 5, 5, 5, 16, 17, 17, 17, 12, 13, 13, 13, 5, 5]",2005年9月至2007年8月就读于亚洲（澳门）国际公开大学MBA专业，获工商管理硕士学位。,46
"['原', '任', '天', '津', '创', '业', '环', '保', '集', '团', '股', '份', '有', '限', '公', '司', '副', '总', '经', '理', '。']","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 5, 5]",原任天津创业环保集团股份有限公司副总经理。,21
"['唐', '先', '生', '因', '工', '作', '调', '动', '，', '于', '2', '0', '1', '5', '年', '2', '月', '1', '6', '日', '申', '请', '辞', '去', '天', '津', '创', '业', '环', '保', '集', '团', '股', '份', '有', '限', '公', '司', '副', '总', '经', '理', '职', '务', '。']","['I-NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'O', 'O']","[5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 5, 5, 5, 5]",唐先生因工作调动，于2015年2月16日申请辞去天津创业环保集团股份有限公司副总经理职务。,45
"['徐', '尚', '林', '，', '男', '，', '汉', '族', '，']","['B-NAME', 'I-NAME', 'I-NAME', 'O', 'O', 'O', 'B-RACE', 'I-RACE', 'O']","[5, 3, 4, 4, 5, 5, 5, 8, 9, 5, 5]",徐尚林，男，汉族，,9
"['1', '9', '5', '6', '年', '9', '月', '出', '生', '，', '山', '东', '济', '阳', '人', '，', '中', '共', '党', '员', '，', '大', '专', '学', '历', '，', '工', '程', '师', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 18, 19, 19, 19, 19, 5, 10, 11, 11, 11, 5, 12, 13, 13, 13, 5, 10, 11, 11, 5, 5]",1956年9月出生，山东济阳人，中共党员，大专学历，工程师。,30
"['近', '五', '年', '曾', '任', '山', '东', '银', '座', '商', '城', '股', '份', '有', '限', '公', '司', '物', '业', '本', '部', '副', '本', '部', '长', '，']","['O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 11, 11, 11, 11, 5, 5]",近五年曾任山东银座商城股份有限公司物业本部副本部长，,26
"['2', '0', '1', '1', '年', '7', '月', '起', '任', '本', '公', '司', '副', '总', '经', '理', '，', '现', '已', '离', '任', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'O', 'O', 'O', 'O', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 10, 11, 11, 11, 5, 5, 5, 5, 5, 5, 5]",2011年7月起任本公司副总经理，现已离任。,22
"['翟', '大', '福', '先', '生', '：', '1', '9', '7', '2', '年', '1', '0', '月', '出', '生', '，']","['B-NAME', 'I-NAME', 'I-NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[5, 3, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",翟大福先生：1972年10月出生，,17
"['1', '9', '9', '2', '年', '9', '月', '-', '1', '9', '9', '6', '年', '7', '月', '，', '""', '合', '肥', '工', '业', '大', '学', '""', '管', '理', '工', '程', '系', '工', '业', '会', '计', '专', '业', '，', '取', '得', '工', '学', '学', '士', '学', '位', '，', '同', '时', '取', '得', '计', '算', '机', '及', '其', '应', '用', '专', '业', '本', '科', '毕', '业', '资', '格', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'O', 'O', 'O', 'B-PRO', 'I-PRO', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O', 'O', 'O', 'O', 'O', 'B-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'B-EDU', 'I-EDU', 'O', 'O', 'O', 'O', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 5, 5, 5, 5, 5, 5, 16, 17, 17, 17, 17, 17, 5, 5, 5, 16, 17, 12, 13, 13, 13, 5, 5, 5, 5, 5, 16, 17, 17, 17, 17, 17, 17, 17, 17, 12, 13, 5, 5, 5, 5, 5, 5]","1992年9月-1996年7月，""合肥工业大学""管理工程系工业会计专业，取得工学学士学位，同时取得计算机及其应用专业本科毕业资格。",65
"['2', '0', '0', '0', '年', '8', '月', '-', '2', '0', '0', '3', '年', '1', '月', '，', '财', '政', '部', '财', '政', '科', '学', '研', '究', '所', '，', '会', '计', '学', '硕', '士', '同', '等', '学', '力', '进', '修', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-PRO', 'I-PRO', 'I-PRO', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O', 'O', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 5, 16, 17, 17, 12, 13, 13, 13, 13, 13, 5, 5, 5, 5]",2000年8月-2003年1月，财政部财政科学研究所，会计学硕士同等学力进修。,39
"['2', '0', '0', '8', '年', '3', '月', '-', '2', '0', '0', '9', '年', '9', '月', '，', '清', '华', '大', '学', '经', '管', '学', '院', 'E', 'M', 'B', 'A', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 12, 13, 13, 13, 5, 5]",2008年3月-2009年9月，清华大学经管学院EMBA。,29
"['2', '0', '0', '3', '年', '8', '月', '-', '现', '在', '，', '任', '职', '于', '华', '夏', '幸', '福', '基', '业', '股', '份', '有', '限', '公', '司', '，', '董', '事', '副', '总', '裁', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 5, 10, 11, 11, 11, 11, 5, 5]",2003年8月-现在，任职于华夏幸福基业股份有限公司，董事副总裁。,33
"['2', '0', '0', '2', '年', '6', '月', '-', '2', '0', '0', '3', '年', '7', '月', '，', '中', '信', '集', '团', '文', '化', '传', '媒', '公', '司', '，', '计', '财', '部', '经', '理', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 5, 10, 11, 11, 11, 11, 5, 5]",2002年6月-2003年7月，中信集团文化传媒公司，计财部经理。,33
"['1', '9', '9', '9', '年', '6', '月', '-', '2', '0', '0', '2', '年', '6', '月', '，', '青', '鸟', '寰', '宇', '消', '防', '设', '备', '有', '限', '公', '司', '，', '财', '务', '主', '管', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 5, 10, 11, 11, 11, 5, 5]",1999年6月-2002年6月，青鸟寰宇消防设备有限公司，财务主管。,34
